,name,link,pay_min,pay_max,pay_valuta,employer,employer_link,address
50,Middle Data Scientist,https://khimki.hh.ru/vacancy/46742801?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
51,Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),https://khimki.hh.ru/vacancy/46085998?from=vacancy_search_list&query=Data%20Scientist,100000.0,,руб.,Clever Technology,https://hh.ru/employer/597191,Краснодар
52,Data Engineer,https://khimki.hh.ru/vacancy/46719961?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
53,Data Scientist (Middle/Senior),https://khimki.hh.ru/vacancy/46700338?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
54,Senior Data Scientist (NLP),https://khimki.hh.ru/vacancy/43658985?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Актион Технологии,https://hh.ru/employer/3460322,"Москва, Дмитровская"
55,Team Leader Data Scientist,https://khimki.hh.ru/vacancy/46477747?from=vacancy_search_list&query=Data%20Scientist,,,,Билайн,https://hh.ru/employer/4934,Москва
56,Data Scientist в Яндекс.Маркет,https://khimki.hh.ru/vacancy/45870312?from=vacancy_search_list&query=Data%20Scientist,,,,Яндекс,https://hh.ru/employer/1740,Москва
57,Data engineer,https://khimki.hh.ru/vacancy/44441141?from=vacancy_search_list&query=Data%20Scientist,,,,"Лента, федеральная розничная сеть, IT ",https://hh.ru/employer/7172?dpt=7172-7172-it,Москва
58,Data Scientist / Data Analyst,https://khimki.hh.ru/vacancy/46813747?from=vacancy_search_list&query=Data%20Scientist,,,,МТС. Маркетинг,https://hh.ru/employer/89798?dpt=89798-89798-04,"Минск, Парк Челюскинцев"
59,BI Analyst/Аналитик Данных,https://khimki.hh.ru/vacancy/46213841?from=vacancy_search_list&query=Data%20Scientist,,,,Click,https://hh.ru/employer/2053040,"Санкт-Петербург, Петроградская"
60,"Data Scientist. MassPers, Персональные предложения",https://khimki.hh.ru/vacancy/46753599?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
61,Аналитик данных / Data scientist (SIEM),https://khimki.hh.ru/vacancy/39346771?from=vacancy_search_list&query=Data%20Scientist,,,,"Программный Продукт, ИТ-компания",https://hh.ru/employer/2393,Москва
62,"R&D Data Scientist (Machine learning, Data mining)",https://khimki.hh.ru/vacancy/45188528?from=vacancy_search_list&query=Data%20Scientist,,,,Siemens,https://hh.ru/employer/2935,Москва
63,Ведущий Data Scientist / RNA Lead,https://khimki.hh.ru/vacancy/46213657?from=vacancy_search_list&query=Data%20Scientist,,,,Click,https://hh.ru/employer/2053040,"Санкт-Петербург, Петроградская"
64,Senior Data scientist / Старший специалист по работе с данными и эконометрике,https://khimki.hh.ru/vacancy/44959475?from=vacancy_search_list&query=Data%20Scientist,,,,dentsu,https://hh.ru/employer/6528,Москва
65,Скоринг-аналитик / Data scientist /Аналитик (скоринг),https://khimki.hh.ru/vacancy/45672547?from=vacancy_search_list&query=Data%20Scientist,,,,Займ-Экспресс,https://hh.ru/employer/802852,"Москва, Краснопресненская и еще 1 "
66,ML Engineer,https://khimki.hh.ru/vacancy/46759360?from=vacancy_search_list&query=Data%20Scientist,,,,Билайн,https://hh.ru/employer/4934,Москва
67,Инженер данных (Data Engineer),https://khimki.hh.ru/vacancy/42013644?from=vacancy_search_list&query=Data%20Scientist,,,,"Mail.ru Group, Другое",https://hh.ru/employer/15478?dpt=mailru-15478-other,Москва
68,Middle Data Scientist,https://khimki.hh.ru/vacancy/43959794?from=vacancy_search_list&query=Data%20Scientist,,,,Ridex GmbH,https://hh.ru/employer/3060884,"Новосибирск, Площадь Ленина"
69,Senior data scientist,https://khimki.hh.ru/vacancy/46021178?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Гроші Всім,https://hh.ru/employer/2404466,Киев
70,Senior Data Scientist/ML Engineer SberDevices,https://khimki.hh.ru/vacancy/46688716?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
71,Data Scientist (quant trader),https://khimki.hh.ru/vacancy/46498247?from=vacancy_search_list&query=Data%20Scientist,,,,Корсаков Евгений Александрович,https://hh.ru/employer/4669516,Москва
72,Data Scientist в службу рекомендательных систем и улучшения качества поиска Яндекс.Маркета,https://khimki.hh.ru/vacancy/45302142?from=vacancy_search_list&query=Data%20Scientist,,,,Яндекс,https://hh.ru/employer/1740,"Москва, Арбатская и еще 2 "
73,Data Scientist(NLP),https://khimki.hh.ru/vacancy/46691607?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Екатеринбург
74,Data Scientist (Аналитик),https://khimki.hh.ru/vacancy/41605370?from=vacancy_search_list&query=Data%20Scientist,60000.0,,руб.,ООО МКК Срочноденьги,https://hh.ru/employer/667710,"Нижний Новгород, Горьковская"
75,Data Scientist ‎,https://khimki.hh.ru/vacancy/46298233?from=vacancy_search_list&query=Data%20Scientist,,,,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Москва
76,Data Scientist (управление кредитным риском),https://khimki.hh.ru/vacancy/45694394?from=vacancy_search_list&query=Data%20Scientist,,,,ПАО Ростелеком,https://hh.ru/employer/2748,"Москва, Румянцево"
77,Middle/Senior Data Scientist ,https://khimki.hh.ru/vacancy/46777283?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
78,Senior Data Scientist (рекомендательная система Пульс),https://khimki.hh.ru/vacancy/44758006?from=vacancy_search_list&query=Data%20Scientist,,,,"Mail.ru Group, Другое",https://hh.ru/employer/15478?dpt=mailru-15478-other,"Москва, Аэропорт"
79,Senior Data Scientist,https://khimki.hh.ru/vacancy/46742812?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
80,Data Scientist,https://khimki.hh.ru/vacancy/46630629?from=vacancy_search_list&query=Data%20Scientist,,,,ТОО Моторная компания «Астана-Моторс,https://hh.ru/employer/2072954,Алматы
81,Data Scientist,https://khimki.hh.ru/vacancy/46417533?from=vacancy_search_list&query=Data%20Scientist,,100000.0,руб.,Нек. орг. Федеральный институт повышения квалификации,https://hh.ru/employer/2240630,Новосибирск
82,Data scientist (Предиктивная аналитика),https://khimki.hh.ru/vacancy/44199707?from=vacancy_search_list&query=Data%20Scientist,,,,Аналитический центр при Правительстве Российской Федерации,https://hh.ru/employer/211052,Москва
83,Data engineer,https://khimki.hh.ru/vacancy/46761168?from=vacancy_search_list&query=Data%20Scientist,,,,Леруа Мерлен. Центральный офис,https://hh.ru/employer/8582?dpt=8582-8582-lmofis,Москва
84,Data Scientist,https://khimki.hh.ru/vacancy/39307094?from=vacancy_search_list&query=Data%20Scientist,,,,ООО ЭдСервер,https://hh.ru/employer/3543358,"Санкт-Петербург, Петроградская"
85,Senior Data Scientist/Team Lead Data Scientist,https://khimki.hh.ru/vacancy/46583927?from=vacancy_search_list&query=Data%20Scientist,,300000.0,руб.,Национальный исследовательский университет Высшая школа экономики,https://hh.ru/employer/80981,Москва
86,Data scientist / главный специалист по анализу данных и моделированию,https://khimki.hh.ru/vacancy/46602577?from=vacancy_search_list&query=Data%20Scientist,,,,Группа НЛМК,https://hh.ru/employer/988387,"Москва, Полянка и еще 2 "
87,ML Engineer,https://khimki.hh.ru/vacancy/46652183?from=vacancy_search_list&query=Data%20Scientist,,,,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Новосибирск
88,Data Scientist,https://khimki.hh.ru/vacancy/46618178?from=vacancy_search_list&query=Data%20Scientist,,,,Единая Европа - Холдинг,https://hh.ru/employer/345,"Москва, Саларьево"
89,Data Scientist (в Сочи),https://khimki.hh.ru/vacancy/46585588?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер. Data Science,https://hh.ru/employer/3529?dpt=3529-3529-data,Санкт-Петербург
90,Data Scientist (в Сочи),https://khimki.hh.ru/vacancy/46585589?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер. Data Science,https://hh.ru/employer/3529?dpt=3529-3529-data,Москва
91,Data Engineer,https://khimki.hh.ru/vacancy/46619254?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,"Москва, Кутузовская"
92,"Data Scientist в генеративный CV (middle, remote)",https://khimki.hh.ru/vacancy/46622553?from=vacancy_search_list&query=Data%20Scientist,,120000.0,руб.,Everypixel group,https://hh.ru/employer/573161,"Санкт-Петербург, Василеостровская"
93,Data Scientist (в Сочи),https://khimki.hh.ru/vacancy/46585590?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер. Data Science,https://hh.ru/employer/3529?dpt=3529-3529-data,Новосибирск
94,Data Scientist/Python Developer (remote),https://khimki.hh.ru/vacancy/46595140?from=vacancy_search_list&query=Data%20Scientist,,,,Nitka Technologies,https://hh.ru/employer/939874,Ростов-на-Дону
95,Senior Data Scientist (NLP),https://khimki.hh.ru/vacancy/44329503?from=vacancy_search_list&query=Data%20Scientist,,,,Grid Dynamics,https://hh.ru/employer/802184,Санкт-Петербург
96,Аналитик данных (Data Scientist),https://khimki.hh.ru/vacancy/46608474?from=vacancy_search_list&query=Data%20Scientist,,,,ЗАО Группа компаний С7,https://hh.ru/employer/766468,Москва
97,DATA SCIENTIST,https://khimki.hh.ru/vacancy/46041155?from=vacancy_search_list&query=Data%20Scientist,,,,"«РОСБАНК, Societe Generale Group»",https://hh.ru/employer/599?dpt=rosbank-599-bezo,Самара
98,Data Scientist (в Сочи),https://khimki.hh.ru/vacancy/46585592?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер. Data Science,https://hh.ru/employer/3529?dpt=3529-3529-data,Нижний Новгород
99,Middle Data Scientist / ML-engineer (NLP),https://khimki.hh.ru/vacancy/46556909?from=vacancy_search_list&query=Data%20Scientist,100000.0,200000.0,руб.,ООО РЕ:ПОИНТ,https://hh.ru/employer/1929522,Новосибирск
100,Middle Data Scientist(Департамент E-commerce),https://khimki.hh.ru/vacancy/46591407?from=vacancy_search_list&query=Data%20Scientist,,,,АльфаСтрахование,https://hh.ru/employer/370,Москва
101,Business Data Scientist (Cyprus),https://khimki.hh.ru/vacancy/45830553?from=vacancy_search_list&query=Data%20Scientist,,,,Exness,https://hh.ru/employer/1312113,Москва
102,Backend Data Engineer,https://khimki.hh.ru/vacancy/46298231?from=vacancy_search_list&query=Data%20Scientist,,,,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Москва
103,ML Engineer,https://khimki.hh.ru/vacancy/46652185?from=vacancy_search_list&query=Data%20Scientist,,,,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Москва
104,Senior Data scientist,https://khimki.hh.ru/vacancy/46551122?from=vacancy_search_list&query=Data%20Scientist,,,,Netcracker Technology Corp.,https://hh.ru/employer/3945,Саратов
